nom,date,heure,lieu,participants
"VI      À toute vapeur                VII     Une baleine d'espèce inconnue                VIII    Mobilis in mobile                IX      Les colères de Ned Land                X       L'homme des eaux                XI      Le Nautilus                XII     Tout par l'électricité                XIII    Quelques chiffres                XIV     Le Fleuve-Noir                XV      Une invitation par lettre                XVI     Promenade en plaine                XVII    Une forêt sous-marine                XVIII   Quatre mille lieues sous le Pacifique                XIX     Vanikoro                XX      Le détroit de Torrès                XXI     Quelques jours à terre                XXII    La foudre du capitaine Nemo                XXIII   Ægri somnia                XXIV    Le royaume du corail                              VINGT MILLE LIEUES                                   SOUS                                 LES MERS                          TOUR DU MONDE SOUS MARIN                              (Première partie)                                      I                              UN ÉCUEIL FUYANT  L'année 1866 fut marquée par un événement bizarre, un phénomène inexpliqué et inexplicable que personne n'a sans doute oublié.",1866,None,"Lieu(nom='détroit de Torrès', occurrences=12, categorie='LOC')",
"Pareil fait fut également observé le 23 juillet de la même année, dans les mers du Pacifique, par le Cristobal-Colon, de West India and Pacific steam navigation Company.",23 juillet,None,"Lieu(nom='Pacifique', occurrences=36, categorie='LOC')",
"Et l'impatience allait croissant, quand, le 2 juillet, on apprit qu'un steamer de la ligne de San Francisco de Californie à Shangaï avait revu l'animal, trois semaines auparavant, dans les mers septentrionales du Pacifique.",2 juillet,None,"Lieu(nom='Pacifique', occurrences=36, categorie='LOC')",
"Les feux furent poussés ; l'hélice battit plus rapidement les flots ; la frégate longea la côte jaune et basse de Long-lsland, et, à huit heures du soir, après avoir perdu dans le nord-ouest les feux de Fire-lsland, elle courut à toute vapeur sur les sombres eaux de l'Atlantique.",None,soir,"Lieu(nom='Atlantique', occurrences=39, categorie='LOC')",
"Vers deux heures du matin le foyer lumineux reparut, non moins intense, à cinq milles au vent de l'Abraham-Lincoln.",None,matin,"Lieu(nom='Abraham-Lincoln', occurrences=17, categorie='LOC')","Personnage(nom='Abraham-Lincoln', occurrences=30, attributs=[], genre='')"
"Le 11 novembre, de grand matin, l'air frais répandu à l'intérieur du Nautilus m'apprit que nous étions revenus à la surface de l'Océan, afin de renouveler les provisions d'oxygène.",11 novembre,matin,"Lieu(nom='Océan', occurrences=113, categorie='LOC')",
"Le 15 décembre, nous laissions dans l'est le séduisant archipel de la Société, et la gracieuse Taiti, la reine du Pacifique.",15 décembre,None,"Lieu(nom='Pacifique', occurrences=36, categorie='LOC')",
"La Pérouse et son second, le capitaine de Langle, furent envoyés par Louis XVI, en 1785, pour accomplir un voyage de circumnavigation.",en 1785,None,"Lieu(nom='La Pérouse', occurrences=12, categorie='LOC')",
"La Recherche, après avoir relâché sur plusieurs points du Pacifique, mouilla devant Vanikoro, le 7 juillet 1827, dans ce même havre de Vanou, où le Nautilus flottait en ce moment.",7 juillet 1827,None,"Lieu(nom='Vanikoro', occurrences=15, categorie='LOC')",
"Puis, il quitta Vanikoro, se dirigea vers la Nouvelle-Zélande, mouilla à Calcutta, le 7 avril 1828, et revint en France, où il fut très sympathiquement accueilli par Charles X.  Mais, à ce moment, Dumont d'Urville, sans avoir eu connaissance des travaux de Dillon, était déjà parti pour chercher ailleurs le théâtre du naufrage.",7 avril 1828,None,"Lieu(nom='France', occurrences=10, categorie='LOC')","Personnage(nom=""Dumont d'Urville"", occurrences=17, attributs=['perplexe'], genre='')"
"Le 10 février 1828, I 'Astrolabe se présenta devant Tikopia, prit pour guide et interprète un déserteur fixé sur cette île, fit route vers Vanikoro, en eut connaissance le 12 février, prolongea ses récifs jusqu'au 14, et, le 20 seulement, mouilla au-dedans de la barrière, dans le havre de Vanou.",10 février 1828,None,"Lieu(nom='Vanikoro', occurrences=15, categorie='LOC')",
"Et pendant que je regardais ces épaves désolées, le capitaine Nemo me dit d'une voix grave :  « Le commandant La Pérouse partit le 7 décembre 1785 avec ses navires la Boussole et l'Astrolabe.",7 décembre 1785,None,"Lieu(nom='La Pérouse', occurrences=12, categorie='LOC')","Personnage(nom='capitaine Nemo', occurrences=397, attributs=['XXIII', 'sobre', 'imprudent'], genre='')"
"XX                            LE DÉTROIT DE TORRÈS  Pendant la nuit du 27 au 28 décembre, le Nautilus abandonna les parages de Vanikoro avec une vitesse excessive.",28 décembre,None,"Lieu(nom='Vanikoro', occurrences=15, categorie='LOC')",
"Deux jours après avoir traversé la mer de Corail, le 4 janvier, nous eûmes connaissance des côtes de la Papouasie.",4 janvier,None,"Lieu(nom='Papouasie', occurrences=12, categorie='LOC')",
"Le Canadien le dépouilla et le vida proprement, après en avoir retiré une demi-douzaine de côtelettes destinées à fournir une grillade pour le repas du soir.",None,soir,"Lieu(nom='Canadien', occurrences=229, categorie='LOC')",
"Capitaine, dis-je, je ne doute pas....   Demain, ajouta le capitaine Nemo en se levant, demain, à deux heures quarante minutes du soir, le Nautilus flottera et quittera sans avarie le détroit de Torrès. »",None,soir,"Lieu(nom='détroit de Torrès', occurrences=12, categorie='LOC')","Personnage(nom='capitaine Nemo', occurrences=397, attributs=['XXIII', 'sobre', 'imprudent'], genre='')"
"Le 25 janvier, l'Océan étant absolument désert, le Nautilus passa la journée à sa surface, battant les flots de sa puissante hélice et les faisant rejaillir à une grande hauteur.",25 janvier,None,"Lieu(nom='Océan', occurrences=113, categorie='LOC')",
"Toujours, me répondit le capitaine Nemo, bien que ces pêcheries appartiennent au peuple le plus industrieux du globe, aux Anglais, auxquels le traité d'Amiens les a cédées en 1802.",en 1802,None,"Lieu(nom='Anglais', occurrences=14, categorie='LOC')","Personnage(nom='capitaine Nemo', occurrences=397, attributs=['XXIII', 'sobre', 'imprudent'], genre='')"
"IV                                LA MER ROUGE  Pendant la journée du 29 janvier, l'île de Ceylan disparut sous l'horizon, et le Nautilus, avec une vitesse de vingt milles à l'heure, se glissa dans ce labyrinthe de canaux qui séparent les Maledives des Laquedives.",29 janvier,None,"Lieu(nom='Ceylan', occurrences=11, categorie='LOC')",
"Le lendemain 30 janvier - lorsque le Nautilus remonta à la surface de l'Océan, il n'avait plus aucune terre en vue.",30 janvier,None,"Lieu(nom='Océan', occurrences=113, categorie='LOC')",
"Le 5 février, nous donnions enfin dans le golfe d'Aden, véritable entonnoir introduit dans ce goulot de Babel-Mandeb, qui entonne les eaux indiennes dans la mer Rouge.",5 février,None,"Lieu(nom='mer Rouge', occurrences=33, categorie='LOC')",
"Le 6 février, le Nautilus flottait en vue d'Aden, perché sur un promontoire qu'un isthme étroit réunit au continent, sorte de Gibraltar inaccessible, dont les Anglais ont refait les fortifications, après s'en être emparés en 1839.",6 février,None,"Lieu(nom='Anglais', occurrences=14, categorie='LOC')",
"Enfin, à midi, nous sillonnions les flots de la mer Rouge.",None,midi,"Lieu(nom='mer Rouge', occurrences=33, categorie='LOC')",
"Le 9 février, le Nautilus flottait dans cette partie la plus large de la mer Rouge, qui est comprise entre Souakin sur la côte ouest et Quonfodah sur la côte est, sur un diamètre de cent quatre-vingt-dix milles.",9 février,None,"Lieu(nom='mer Rouge', occurrences=33, categorie='LOC')",
"Comme je me taisais toujours, le Canadien se leva, et se rapprochant de moi :  « Ce soir, à neuf heures, dit-il.",None,soir,"Lieu(nom='Canadien', occurrences=229, categorie='LOC')",
"Or, vers la fin de 1702, elle attendait un riche convoi que la France faisait escorter par une flotte de vingt-trois vaisseaux commandés par l'amiral de Château-Renaud, car les marines coalisées couraient alors l'Atlantique.",1702,None,"Lieu(nom='Atlantique', occurrences=39, categorie='LOC')",
"IX                            UN CONTINENT DISPARU  Le lendemain matin, 19 février, je vis entrer le Canadien dans ma chambre.",19 février,matin,"Lieu(nom='Canadien', occurrences=229, categorie='LOC')",
"Depuis ce moment, pendant dix-neuf jours, du 23 février au 12 mars, le Nautilus, tenant le milieu de l'Atlantique, nous emporta avec une vitesse constante de cent lieues par vingt-quatre heures.",23 février,None,"Lieu(nom='Atlantique', occurrences=39, categorie='LOC')",
"Vers onze heures du matin, étant à la surface de l'Océan, le Nautilus tomba au milieu d'une troupe de baleines.",None,matin,"Lieu(nom='Océan', occurrences=113, categorie='LOC')",
"En 1820, l'Anglais Brunsfield fut arrêté sur le soixante-cinquième degré.",En 1820,None,"Lieu(nom='Anglais', occurrences=14, categorie='LOC')",
"En 1825, l'Anglais Powell ne pouvait dépasser le soixante-deuxième degré.",En 1825,None,"Lieu(nom='Anglais', occurrences=14, categorie='LOC')",
"En 1829, l'Anglais Forster, commandant le Chanticleer, prenait possession du continent antarctique par 63°26' de latitude et 66°26' de longitude.",En 1829,None,"Lieu(nom='Anglais', occurrences=14, categorie='LOC')",
